Whichyear,feelingrightnow,ExpressFeeling,Gender,Age,Yourlocation,Relationshipstatus,Areyouhappyinancialy,succeededInEducationalinstitution,Understandingwithfamily,feelingpressureinyourstudy,satisfiedwithacademicresult,happywithlivingplace,supportsyouyouracademiclife,usedanysocialmedia,haveinferioritycomplex,satisfiedwithmeal,feelingSick/healt issues,donerecreationalactivitytoday,sleepAtNight
4th year,2,49,Male,23,Department,Single,Yes,1,Good,Yes,Yes,No,Family,Yes,No,Yes,Yes,No,4
4th year,3,69,Male,23,Playground,Single,Yes,4,Normal,No,No,No,Family,Yes,No,Neutral,No,No,7
4th year,1,8,Male,23,Department,Single,No,1,Good,Yes,Yes,Yes,Family,Yes,No,Neutral,Yes,No,7
4th year,2,39,Male,23,Hall-Mess,Single,Yes,3,Normal,Yes,No,Yes,Family,Yes,Yes,Neutral,No,Yes,5
4th year,1,7,Male,23,Hall-Mess,Single,Yes,1,Good,Yes,Yes,No,Friends,Yes,No,No,Yes,Yes,5
4th year,2,39,Male,23,Department,Single,Yes,2,Good,Yes,Yes,Yes,Family,Yes,Yes,No,No,Yes,3
4th year,2,25,Male,23,Department,Single,Yes,3,Normal,Yes,No,Yes,Family,Yes,Maybe,No,No,No,4
4th year,2,48,Male,23,Playground,Single,Yes,1,Good,Yes,No,No,Family,Yes,Maybe,No,Yes,No,5
4th year,3,56,Male,23,Hall-Mess,Single,No,5,Normal,No,Yes,No,Family,Yes,No,Yes,Yes,No,7
4th year,3,53,Male,23,Home,Single,No,4,Good,No,No,No,Friends,Yes,No,Yes,Yes,No,6
4th year,3,54,Male,23,Home,Single,No,4,Normal,Yes,No,Yes,Family,Yes,Maybe,Neutral,No,Yes,8
4th year,2,25,Male,23,Department,Single,No,3,Bad,Yes,Yes,No,Friends,Yes,Yes,No,No,No,4
4th year,4,78,Male,23,Department,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,7
4th year,3,57,Male,23,Playground,Single,No,4,Normal,No,No,No,Family,Yes,No,Neutral,Yes,Yes,7
4th year,1,2,Male,23,Department,Single,No,3,Bad,Yes,No,No,Friends,Yes,No,Neutral,Yes,Yes,6
4th year,5,100,Male,23,Home,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,10
4th year,1,10,Male,23,Playground,Single,Yes,2,Bad,Yes,Yes,No,Friends,Yes,Yes,Yes,No,No,3
4th year,4,87,Male,23,Hall-Mess,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,4,84,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,10
4th year,1,3,Male,23,Home,Single,Yes,1,Good,Yes,No,No,Family,Yes,Maybe,Yes,Yes,No,7
4th year,3,56,Male,23,Department,Single,No,4,Good,No,No,No,Friends,Yes,No,Neutral,Yes,Yes,7
4th year,4,76,Male,23,Department,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,No,7
4th year,4,77,Male,23,Home,Single,Yes,4,Good,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,10
4th year,1,13,Male,23,Home,Single,Yes,2,Good,Yes,Yes,Yes,Family,Yes,Yes,Yes,No,No,6
4th year,2,46,Male,23,Hall-Mess,Single,No,1,Good,Yes,No,No,Family,Yes,Maybe,No,No,No,7
4th year,4,75,Male,23,Hall-Mess,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,No,9
4th year,5,98,Male,23,Home,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,3,64,Male,23,Playground,Single,Yes,3,Good,No,Yes,No,Friends,Yes,No,Yes,No,No,8
4th year,2,23,Male,23,Home,Single,Yes,1,Normal,Yes,No,No,Family,Yes,Yes,Neutral,Yes,Yes,6
4th year,5,95,Male,23,Department,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,8
4th year,1,16,Male,23,Playground,Single,No,3,Good,Yes,Yes,No,Friends,Yes,Maybe,Neutral,Yes,Yes,4
4th year,1,16,Male,23,Playground,Single,No,2,Normal,Yes,Yes,Yes,Friends,Yes,No,Yes,No,Yes,7
4th year,1,8,Male,23,Department,Single,Yes,2,Good,Yes,No,No,Family,Yes,No,No,Yes,No,3
4th year,3,62,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,No,Family,Yes,Maybe,Neutral,No,Yes,7
4th year,1,5,Male,23,Department,Single,No,2,Bad,Yes,No,Yes,Friends,Yes,Yes,No,Yes,No,6
4th year,5,100,Male,23,Hall-Mess,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,9
4th year,2,33,Male,23,Hall-Mess,Single,No,3,Normal,Yes,Yes,No,Friends,Yes,No,No,No,Yes,4
4th year,5,93,Male,23,Playground,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Yes,No,No,10
4th year,2,25,Male,23,Hall-Mess,Single,Yes,2,Normal,Yes,Yes,Yes,Family,Yes,No,Yes,Yes,Yes,4
4th year,1,17,Male,23,Playground,Single,No,2,Bad,Yes,No,No,Family,Yes,Maybe,Yes,Yes,Yes,7
4th year,4,72,Male,23,Home,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,No,8
4th year,4,73,Male,23,Playground,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7
4th year,2,23,Male,23,Playground,Single,No,1,Normal,Yes,Yes,No,Family,Yes,No,Neutral,Yes,No,3
4th year,4,86,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,9
4th year,3,58,Male,23,Playground,Single,Yes,4,Normal,Yes,Yes,No,Family,Yes,No,Yes,No,No,8
4th year,5,100,Male,23,Department,Single,Yes,4,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
4th year,1,2,Male,23,Home,Single,Yes,2,Normal,Yes,Yes,Yes,Family,Yes,Maybe,Yes,No,Yes,5
4th year,1,17,Male,23,Playground,Single,Yes,2,Bad,Yes,No,No,Family,Yes,Yes,Yes,Yes,No,5
4th year,1,7,Male,23,Playground,Single,No,3,Good,Yes,Yes,Yes,Family,Yes,Maybe,Neutral,Yes,Yes,6
4th year,4,79,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,9
4th year,5,94,Male,23,Department,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,3,65,Male,23,Hall-Mess,Single,Yes,5,Good,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,7
4th year,5,97,Male,23,Hall-Mess,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,9
4th year,2,24,Male,23,Hall-Mess,Single,Yes,3,Bad,Yes,No,No,Family,Yes,No,No,Yes,No,3
4th year,4,84,Male,23,Hall-Mess,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10
4th year,5,93,Male,23,Department,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,4,73,Male,23,Department,Single,Yes,5,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,9
4th year,2,29,Male,23,Department,Single,Yes,1,Normal,Yes,No,Yes,Family,Yes,Yes,No,Yes,No,3
4th year,5,92,Male,23,Department,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,9
4th year,3,65,Male,23,Hall-Mess,Single,Yes,4,Normal,Yes,Yes,No,Family,Yes,Maybe,Neutral,Yes,No,6
4th year,4,76,Male,23,Playground,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,8
4th year,4,86,Male,23,Department,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,10
4th year,1,14,Male,23,Playground,Single,Yes,3,Good,Yes,Yes,Yes,Friends,Yes,Maybe,No,No,Yes,3
4th year,3,60,Male,23,Home,Single,No,4,Normal,No,Yes,Yes,Family,Yes,Maybe,Yes,Yes,No,8
4th year,3,64,Male,23,Hall-Mess,Single,Yes,4,Good,Yes,Yes,Yes,Friends,Yes,Maybe,Yes,No,No,6
4th year,2,49,Male,23,Department,Single,No,3,Bad,Yes,Yes,No,Friends,Yes,Yes,Yes,No,No,5
4th year,2,41,Male,23,Department,Single,Yes,3,Good,Yes,Yes,Yes,Family,Yes,Maybe,Neutral,Yes,No,4
4th year,5,91,Male,23,Department,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10
4th year,3,56,Male,23,Home,Single,Yes,5,Normal,Yes,No,No,Family,Yes,No,Yes,No,No,6
4th year,2,20,Male,23,Playground,Single,No,3,Good,Yes,Yes,No,Family,Yes,Yes,Yes,No,No,7
4th year,3,68,Male,23,Home,Single,No,3,Normal,No,No,Yes,Family,Yes,Maybe,Yes,Yes,No,7
4th year,1,8,Male,23,Playground,Single,No,2,Normal,Yes,Yes,Yes,Family,Yes,Maybe,No,No,Yes,3
4th year,3,70,Male,23,Department,Single,Yes,5,Normal,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,7
4th year,5,97,Male,23,Playground,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Yes,No,Yes,10
4th year,3,65,Male,23,Playground,Single,Yes,5,Normal,No,Yes,No,Friends,Yes,Maybe,Neutral,Yes,No,6
4th year,4,73,Male,23,Home,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,No,9
4th year,2,45,Male,23,Department,Single,No,2,Normal,Yes,Yes,No,Family,Yes,Maybe,Neutral,No,No,5
4th year,1,16,Male,23,Home,Single,No,1,Normal,Yes,Yes,Yes,Family,Yes,Maybe,No,No,Yes,3
4th year,5,99,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Neutral,No,No,10
4th year,1,14,Male,23,Home,Single,Yes,3,Good,Yes,Yes,No,Family,Yes,No,Neutral,No,Yes,3
4th year,4,71,Male,23,Department,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10
4th year,5,92,Male,23,Department,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,2,27,Male,23,Playground,Single,No,3,Good,Yes,Yes,Yes,Family,Yes,Yes,No,Yes,Yes,4
4th year,1,3,Male,23,Playground,Single,No,1,Good,Yes,Yes,No,Friends,Yes,No,No,No,No,7
4th year,1,2,Male,23,Department,Single,Yes,1,Bad,Yes,Yes,No,Friends,Yes,No,Neutral,Yes,No,4
4th year,5,95,Male,23,Home,Single,Yes,5,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,5,93,Male,23,Playground,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,3,53,Male,23,Hall-Mess,Single,No,3,Normal,No,Yes,No,Family,Yes,Maybe,Yes,Yes,No,6
4th year,3,51,Male,23,Department,Single,Yes,5,Normal,Yes,No,No,Family,Yes,Maybe,Neutral,Yes,No,6
4th year,5,91,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10
4th year,3,69,Male,23,Home,Single,Yes,5,Normal,Yes,Yes,No,Friends,Yes,No,Yes,No,No,6
4th year,1,17,Male,23,Home,Single,Yes,2,Good,Yes,Yes,Yes,Friends,Yes,Yes,No,Yes,No,5
4th year,5,96,Male,23,Department,Single,Yes,4,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,No,8
4th year,4,71,Male,23,Hall-Mess,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,5,91,Male,23,Home,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,No,7
4th year,3,53,Male,23,Playground,Single,No,4,Normal,Yes,No,No,Friends,Yes,Maybe,Neutral,No,Yes,7
4th year,3,61,Male,23,Playground,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,No,Yes,6
4th year,5,91,Male,23,Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,9
4th year,3,61,Male,23,Playground,Single,No,3,Normal,No,Yes,No,Friends,Yes,No,Neutral,Yes,Yes,6
4th year,3,61,Male,23,Playground,Single,No,5,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,No,Yes,8
4th year,4,72,Male,23,Playground,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,No,7
4th year,4,89,Male,23,Playground,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,8
4th year,4,74,Male,23,Playground,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,9
4th year,2,23,Male,23,Playground,Single,No,1,Bad,Yes,No,Yes,Friends,Yes,No,Neutral,Yes,No,7
4th year,2,45,Male,23,Hall-Mess,Single,Yes,3,Good,Yes,No,No,Family,Yes,Maybe,Neutral,Yes,No,5
4th year,1,12,Male,23,Playground,Single,No,2,Normal,Yes,No,Yes,Family,Yes,Maybe,No,No,No,7
4th year,4,86,Male,23,Home,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,9
4th year,3,53,Male,23,Home,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,Maybe,Neutral,Yes,No,6
4th year,5,98,Male,23,Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7
4th year,2,38,Male,23,Playground,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,No,No,4
4th year,1,19,Male,23,Department,Single,Yes,3,Good,Yes,No,No,Family,Yes,Yes,Yes,Yes,No,3
4th year,5,91,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,8
4th year,3,53,Male,23,Playground,Single,Yes,4,Good,Yes,No,No,Family,Yes,No,Neutral,Yes,No,6
4th year,4,76,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,7
4th year,5,92,Male,23,Hall-Mess,Single,Yes,5,Good,No,No,Yes,Friends,Yes,No,Neutral,No,No,8
4th year,2,44,Male,23,Playground,Single,No,1,Bad,Yes,Yes,Yes,Family,Yes,Yes,Neutral,Yes,Yes,3
4th year,1,9,Male,23,Playground,Single,No,1,Bad,Yes,No,Yes,Friends,Yes,No,Yes,Yes,No,5
4th year,1,11,Male,23,Home,Single,No,2,Bad,Yes,Yes,Yes,Friends,Yes,No,Yes,No,Yes,4
4th year,5,94,Male,23,Department,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,7
4th year,3,58,Male,23,Playground,Single,No,3,Good,Yes,No,No,Family,Yes,Maybe,Yes,No,No,8
4th year,5,90,Male,23,Department,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,No,8
4th year,1,1,Male,23,Home,Single,No,3,Good,Yes,Yes,No,Family,Yes,Yes,No,Yes,No,4
4th year,1,15,Male,23,Home,Single,No,3,Bad,Yes,Yes,Yes,Friends,Yes,No,No,Yes,Yes,6
4th year,5,92,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Neutral,No,No,10
4th year,3,52,Male,23,Playground,Single,No,4,Good,Yes,No,No,Friends,Yes,No,Neutral,Yes,Yes,8
4th year,1,15,Male,23,Playground,Single,No,2,Good,Yes,No,Yes,Friends,Yes,Yes,No,Yes,No,3
4th year,3,56,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Neutral,Yes,No,6
4th year,3,70,Male,23,Hall-Mess,Single,No,5,Normal,No,No,No,Friends,Yes,Maybe,Yes,Yes,Yes,6
4th year,3,68,Male,23,Playground,Single,Yes,4,Good,Yes,No,Yes,Friends,Yes,Maybe,Neutral,Yes,No,6
4th year,3,59,Male,23,Hall-Mess,Single,No,3,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,Yes,No,8
4th year,2,41,Male,23,Playground,Single,Yes,3,Bad,Yes,No,No,Friends,Yes,No,Yes,No,No,5
4th year,5,92,Male,23,Department,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,9
4th year,2,21,Male,23,Department,Single,No,3,Bad,Yes,No,No,Friends,Yes,No,No,Yes,Yes,3
4th year,4,88,Male,23,Hall-Mess,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,8
4th year,1,10,Male,23,Department,Single,No,2,Bad,Yes,No,Yes,Friends,Yes,No,Yes,No,No,6
4th year,3,53,Male,23,Playground,Single,No,4,Good,No,No,Yes,Family,Yes,Maybe,Neutral,No,No,6
4th year,4,75,Male,23,Hall-Mess,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10
4th year,4,74,Male,23,Department,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,7
4th year,4,78,Male,23,Department,Single,Yes,3,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10
4th year,4,83,Male,23,Hall-Mess,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,8
4th year,5,100,Male,23,Playground,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10
4th year,4,84,Male,23,Hall-Mess,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,7
4th year,5,100,Male,23,Hall-Mess,Single,Yes,5,Good,No,No,Yes,Family,Yes,No,Neutral,No,No,10
4th year,2,31,Male,23,Home,Single,No,1,Bad,Yes,Yes,No,Friends,Yes,No,Yes,Yes,No,5
4th year,5,97,Male,23,Playground,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,Yes,9
4th year,1,1,Male,23,Playground,Single,No,3,Normal,Yes,No,Yes,Family,Yes,Maybe,Neutral,No,Yes,6
4th year,1,1,Male,23,Department,Single,Yes,3,Bad,Yes,No,Yes,Family,Yes,No,Neutral,Yes,Yes,5
4th year,3,50,Male,23,Hall-Mess,Single,Yes,5,Good,Yes,Yes,Yes,Family,Yes,No,Yes,Yes,No,8
4th year,5,99,Male,23,Playground,Single,Yes,5,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,No,10
4th year,2,31,Male,23,Playground,Single,Yes,2,Good,Yes,Yes,Yes,Friends,Yes,Yes,Yes,No,Yes,3
4th year,4,81,Male,23,Hall-Mess,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,9
4th year,3,65,Male,23,Home,Single,No,4,Good,No,Yes,No,Family,Yes,Maybe,Neutral,No,Yes,6
4th year,1,11,Male,23,Department,Single,Yes,2,Normal,Yes,No,Yes,Family,Yes,Maybe,No,Yes,Yes,6
4th year,3,58,Male,23,Hall-Mess,Single,No,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,8
4th year,2,38,Male,23,Hall-Mess,Single,No,2,Bad,Yes,Yes,No,Family,Yes,Maybe,Neutral,Yes,No,3
4th year,5,93,Male,23,Hall-Mess,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,8
4th year,3,52,Male,23,Hall-Mess,Single,Yes,4,Good,Yes,No,Yes,Friends,Yes,No,Neutral,No,No,6
4th year,5,97,Male,23,Department,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,9
4th year,5,92,Male,23,Department,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Yes,No,No,10
4th year,1,18,Male,23,Hall-Mess,Single,Yes,2,Normal,Yes,Yes,Yes,Friends,Yes,Maybe,Neutral,No,No,7
4th year,4,72,Male,23,Department,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10
4th year,4,73,Male,23,Playground,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,7
4th year,5,94,Male,23,Hall-Mess,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,9
4th year,2,27,Male,23,Home,Single,No,2,Normal,Yes,Yes,Yes,Friends,Yes,Maybe,Yes,Yes,No,5
4th year,4,79,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,No,8
4th year,4,87,Male,23,Hall-Mess,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,9
4th year,1,18,Male,23,Home,Single,Yes,2,Good,Yes,Yes,Yes,Family,Yes,No,Yes,No,No,4
4th year,3,69,Male,23,Department,Single,No,3,Good,Yes,No,Yes,Friends,Yes,Maybe,Yes,No,Yes,6
4th year,5,97,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,9
4th year,5,95,Male,23,Playground,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
4th year,5,92,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Yes,No,Yes,8
4th year,2,26,Male,23,Home,Single,No,2,Bad,Yes,Yes,No,Family,Yes,No,Neutral,No,No,6
4th year,3,60,Male,23,Home,Single,Yes,5,Good,Yes,Yes,Yes,Family,Yes,Maybe,Yes,Yes,No,6
4th year,4,83,Male,23,Playground,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10
4th year,1,8,Male,23,Hall-Mess,Single,No,2,Normal,Yes,No,No,Family,Yes,No,Yes,No,Yes,5
4th year,1,8,Male,23,Hall-Mess,Single,Yes,1,Good,Yes,Yes,Yes,Friends,Yes,No,Neutral,Yes,Yes,6
4th year,3,68,Male,23,Playground,Single,No,4,Normal,No,No,Yes,Friends,Yes,No,Yes,Yes,Yes,6
4th year,1,15,Male,23,Playground,Single,Yes,2,Bad,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,6
4th year,4,81,Male,23,Playground,Single,Yes,4,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
4th year,2,38,Male,23,Hall-Mess,Single,No,3,Normal,Yes,Yes,No,Family,Yes,Maybe,Neutral,Yes,No,4
4th year,4,88,Male,23,Playground,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,No,8
4th year,4,84,Male,23,Playground,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,No,8
4th year,2,40,Male,23,Playground,Single,Yes,2,Normal,Yes,No,Yes,Friends,Yes,Maybe,No,No,Yes,3
4th year,5,97,Male,23,Department,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Yes,No,No,8
4th year,1,8,Male,23,Department,Single,Yes,1,Normal,Yes,Yes,Yes,Family,Yes,Yes,Neutral,Yes,No,3
4th year,4,73,Male,23,Department,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7
4th year,5,94,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,8
4th year,1,18,Male,23,Playground,Single,Yes,1,Bad,Yes,Yes,Yes,Friends,Yes,Maybe,No,No,Yes,7
4th year,4,84,Male,23,Hall-Mess,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,9
4th year,4,73,Male,23,Home,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
