Whichyear,feelingrightnow,ExpressFeeling,Gender,Age,Yourlocation,Relationshipstatus,Areyouhappyinancialy,succeededInEducationalinstitution,Understandingwithfamily,feelingpressureinyourstudy,satisfiedwithacademicresult,happywithlivingplace,supportsyouyouracademiclife,usedanysocialmedia,haveinferioritycomplex,satisfiedwithmeal,feelingSick/healt issues,donerecreationalactivitytoday,sleepAtNight
4th year,Bad,26,Male,23,Home,Single,No,2,Bad,Yes,Yes,No,Family,Yes,No,Neutral,No,No,6
4th year,Normal,60,Male,23,Home,Single,Yes,5,Good,Yes,Yes,Yes,Family,Yes,Maybe,Yes,Yes,No,6
4th year,Good,83,Male,23,Playground,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10
4th year,Very bad,8,Male,23,Hall-Mess,Single,No,2,Normal,Yes,No,No,Family,Yes,No,Yes,No,Yes,5
4th year,Very bad,8,Male,23,Hall-Mess,Single,Yes,1,Good,Yes,Yes,Yes,Friends,Yes,No,Neutral,Yes,Yes,6
4th year,Normal,68,Male,23,Playground,Single,No,4,Normal,No,No,Yes,Friends,Yes,No,Yes,Yes,Yes,6
4th year,Very bad,15,Male,23,Playground,Single,Yes,2,Bad,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,6
4th year,Good,81,Male,23,Playground,Single,Yes,4,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
4th year,Bad,38,Male,23,Hall-Mess,Single,No,3,Normal,Yes,Yes,No,Family,Yes,Maybe,Neutral,Yes,No,4
4th year,Good,88,Male,23,Playground,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,No,8
4th year,Good,84,Male,23,Playground,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,No,8
4th year,Bad,40,Male,23,Playground,Single,Yes,2,Normal,Yes,No,Yes,Friends,Yes,Maybe,No,No,Yes,3
4th year,Very good,97,Male,23,Department,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Yes,No,No,8
4th year,Very bad,8,Male,23,Department,Single,Yes,1,Normal,Yes,Yes,Yes,Family,Yes,Yes,Neutral,Yes,No,3
4th year,Good,73,Male,23,Department,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7
4th year,Very good,94,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,8
4th year,Very bad,18,Male,23,Playground,Single,Yes,1,Bad,Yes,Yes,Yes,Friends,Yes,Maybe,No,No,Yes,7
4th year,Good,84,Male,23,Hall-Mess,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,9
4th year,Good,73,Male,23,Home,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
4th year,Bad,47,Male,23,Home,Single,No,1,Good,Yes,Yes,No,Family,Yes,No,No,No,Yes,5
4th year,Very bad,15,Male,23,Department,Single,No,2,Normal,Yes,Yes,Yes,Friends,Yes,Maybe,No,Yes,No,4
4th year,Normal,63,Male,23,Home,Single,Yes,4,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
4th year,Very bad,18,Male,23,Home,Single,No,1,Good,Yes,No,Yes,Family,Yes,No,Neutral,No,No,3
4th year,Very good,96,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10
4th year,Bad,24,Male,23,Playground,Single,Yes,2,Good,Yes,No,No,Family,Yes,No,No,Yes,No,7
4th year,Very good,91,Male,23,Home,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,8
4th year,Good,86,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Yes,No,Yes,9
4th year,Normal,61,Male,23,Department,Single,Yes,3,Normal,No,Yes,Yes,Friends,Yes,No,Yes,Yes,Yes,6
