Whichyear,feelingrightnow,ExpressFeeling,Gender,Age,Yourlocation,Relationshipstatus,Areyouhappyinancialy,succeededInEducationalinstitution,Understandingwithfamily,feelingpressureinyourstudy,satisfiedwithacademicresult,happywithlivingplace,supportsyouyouracademiclife,usedanysocialmedia,haveinferioritycomplex,satisfiedwithmeal,feelingSick/healt issues,donerecreationalactivitytoday,sleepAtNight
4th year,Very good,100,Male,23,Home,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,10
4th year,Very bad,10,Male,23,Playground,Single,Yes,2,Bad,Yes,Yes,No,Friends,Yes,Yes,Yes,No,No,3
4th year,Good,87,Male,23,Hall-Mess,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,Good,84,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,10
4th year,Very bad,3,Male,23,Home,Single,Yes,1,Good,Yes,No,No,Family,Yes,Maybe,Yes,Yes,No,7
4th year,Normal,56,Male,23,Department,Single,No,4,Good,No,No,No,Friends,Yes,No,Neutral,Yes,Yes,7
4th year,Good,76,Male,23,Department,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,No,7
4th year,Good,77,Male,23,Home,Single,Yes,4,Good,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,10
4th year,Very bad,13,Male,23,Home,Single,Yes,2,Good,Yes,Yes,Yes,Family,Yes,Yes,Yes,No,No,6
4th year,Bad,46,Male,23,Hall-Mess,Single,No,1,Good,Yes,No,No,Family,Yes,Maybe,No,No,No,7
4th year,Good,75,Male,23,Hall-Mess,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,No,9
4th year,Very good,98,Male,23,Home,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,Normal,64,Male,23,Playground,Single,Yes,3,Good,No,Yes,No,Friends,Yes,No,Yes,No,No,8
4th year,Bad,23,Male,23,Home,Single,Yes,1,Normal,Yes,No,No,Family,Yes,Yes,Neutral,Yes,Yes,6
4th year,Very good,95,Male,23,Department,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,8
4th year,Very bad,16,Male,23,Playground,Single,No,3,Good,Yes,Yes,No,Friends,Yes,Maybe,Neutral,Yes,Yes,4
4th year,Very bad,16,Male,23,Playground,Single,No,2,Normal,Yes,Yes,Yes,Friends,Yes,No,Yes,No,Yes,7
4th year,Very bad,8,Male,23,Department,Single,Yes,2,Good,Yes,No,No,Family,Yes,No,No,Yes,No,3
4th year,Normal,62,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,No,Family,Yes,Maybe,Neutral,No,Yes,7
4th year,Very bad,5,Male,23,Department,Single,No,2,Bad,Yes,No,Yes,Friends,Yes,Yes,No,Yes,No,6
4th year,Very good,100,Male,23,Hall-Mess,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,9
4th year,Bad,33,Male,23,Hall-Mess,Single,No,3,Normal,Yes,Yes,No,Friends,Yes,No,No,No,Yes,4
4th year,Very good,93,Male,23,Playground,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Yes,No,No,10
4th year,Bad,25,Male,23,Hall-Mess,Single,Yes,2,Normal,Yes,Yes,Yes,Family,Yes,No,Yes,Yes,Yes,4
4th year,Very bad,17,Male,23,Playground,Single,No,2,Bad,Yes,No,No,Family,Yes,Maybe,Yes,Yes,Yes,7
4th year,Good,72,Male,23,Home,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,No,8
4th year,Good,73,Male,23,Playground,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7
4th year,Bad,23,Male,23,Playground,Single,No,1,Normal,Yes,Yes,No,Family,Yes,No,Neutral,Yes,No,3
4th year,Good,86,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,9
4th year,Normal,58,Male,23,Playground,Single,Yes,4,Normal,Yes,Yes,No,Family,Yes,No,Yes,No,No,8
